samplename,file,condition
GSM1249509_10011411_top_3B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249509_10011411_top_3B2.gpr,Killed.PR8
GSM1249510_10010512_top_3B2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249510_10010512_top_3B2.gpr,Killed.PR8
GSM1249511_10011432_top_3B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249511_10011432_top_3B3.gpr,Killed.PR8
GSM1249512_10011440_bot_3B3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249512_10011440_bot_3B3.gpr,Killed.PR8
GSM1249513_10010504_bot_3B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249513_10010504_bot_3B4.gpr,Killed.PR8
GSM1249514_10011521_top_3B4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249514_10011521_top_3B4.gpr,Killed.PR8
GSM1249515_10011435_top_4A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249515_10011435_top_4A0.gpr,X2006.07
GSM1249516_10010511_top_4A0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249516_10010511_top_4A0.gpr,X2006.07
GSM1249517_10011448_bot_4A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249517_10011448_bot_4A1.gpr,X2006.07
GSM1249518_10011412_top_4A1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249518_10011412_top_4A1.gpr,X2006.07
GSM1249519_10011431_top_4A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249519_10011431_top_4A2.gpr,X2006.07
GSM1249520_10010239_bot_4A2,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249520_10010239_bot_4A2.gpr,X2006.07
GSM1249521_10011467_bot_4A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249521_10011467_bot_4A3.gpr,X2006.07
GSM1249522_10010510_bot_4A3,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249522_10010510_bot_4A3.gpr,X2006.07
GSM1249523_10011438_top_4A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249523_10011438_top_4A4.gpr,X2006.07
GSM1249524_10011409_top_4A4,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249524_10011409_top_4A4.gpr,X2006.07
GSM1249525_10011433_bot_4B0,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249525_10011433_bot_4B0.gpr,X2006.07
GSM1249526_10011520_bot_4BO,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249526_10011520_bot_4BO.gpr,X2006.07
GSM1249527_10011432_bot_4B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249527_10011432_bot_4B1.gpr,X2006.07
GSM1249528_10010231_bot_4B1,https://github.com/zifornd/zifo-test-datasets/tree/pepA/testdata/gpr_files/GSM1249528_10010231_bot_4B1.gpr,X2006.07
